_id,median_max_forward,median_max_reverse,plc,time
6334e1ea233402ab79d16d44,-1,-1,57,2022-09-29T08:08:10.000Z
6334e1eb233402ab79d16d46,220.8,190,59,2022-09-29T08:08:10.000Z
6334e1ec233402ab79d16d48,222.4,189.2,60,2022-09-29T08:08:11.000Z
6334efec233402ab79d16d4a,-1,-1,2,2022-09-29T09:07:56.000Z
6334efec233402ab79d16d4c,-1,-1,4,2022-09-29T09:07:56.000Z
6334efed233402ab79d16d4e,-1,-1,5,2022-09-29T09:07:57.000Z
6334efed233402ab79d16d50,-1,-1,7,2022-09-29T09:07:57.000Z
6334efef233402ab79d16d53,-1,-1,17,2022-09-29T09:07:58.000Z
6334eff1233402ab79d16d57,-1,-1,8,2022-09-29T09:08:00.000Z
6334eff1233402ab79d16d59,-1,-1,14,2022-09-29T09:08:01.000Z
6334eff2233402ab79d16d5c,-1,-1,22,2022-09-29T09:08:02.000Z
6334eff2233402ab79d16d5e,-1,-1,24,2022-09-29T09:08:02.000Z
6334eff3233402ab79d16d60,-1,-1,25,2022-09-29T09:08:02.000Z
6334eff3233402ab79d16d62,-1,-1,28,2022-09-29T09:08:03.000Z
6334eff5233402ab79d16d67,-1,-1,37,2022-09-29T09:08:05.000Z
6334eff5233402ab79d16d69,-1,-1,38,2022-09-29T09:08:05.000Z
6334eff7233402ab79d16d6d,118.5,103.5,44,2022-09-29T09:08:07.000Z
6334eff7233402ab79d16d6f,-1,-1,45,2022-09-29T09:08:07.000Z
6334eff8233402ab79d16d71,-1,-1,46,2022-09-29T09:08:07.000Z
6334eff9233402ab79d16d75,-1,-1,50,2022-09-29T09:08:09.000Z
6334eff9233402ab79d16d77,-1,-1,51,2022-09-29T09:08:09.000Z
6334effb233402ab79d16d7b,-1,-1,56,2022-09-29T09:08:11.000Z
6334effb233402ab79d16d7d,-1,-1,57,2022-09-29T09:08:11.000Z
6334effc233402ab79d16d7f,220.8,190,59,2022-09-29T09:08:11.000Z
6334effd233402ab79d16d81,222.4,189.2,60,2022-09-29T09:08:12.000Z
6334fdfc233402ab79d16d83,-1,-1,2,2022-09-29T10:07:56.000Z
6334fdfc233402ab79d16d85,-1,-1,4,2022-09-29T10:07:56.000Z
6334fdfd233402ab79d16d87,-1,-1,5,2022-09-29T10:07:57.000Z
6334fdfd233402ab79d16d89,-1,-1,7,2022-09-29T10:07:57.000Z
